1x Ancient Den (mrd) [Mono Artifact Land,Land{noDeck}{noPrice}] 
1x Polluted Delta (ons) [Fetchland - Ally,Land{noDeck}{noPrice}] 
1x Private Research (uds) [Destiny - Enchant,Main Deck{noDeck}{noPrice}] 
1x Progenitus (con) [Commanders,Commander{noDeck}{noPrice}] 
1x Purity (lrw) [Lorwyn,Main Deck{noDeck}{noPrice}] 
1x Pyromancer Ascension (zen) [Ascension,Main Deck{noDeck}{noPrice}] 
1x Raffine's Tower (snc) [Triome - Ally,Land{noDeck}{noPrice}] 
1x Raffine, Scheming Seer (snc) [Mob Bosses,Main Deck{noDeck}{noPrice}] 
1x Rakdos Carnarium (dis) [Bounce - Ally,Land{noDeck}{noPrice}] 
1x Rakdos Locket (rna) [Locket - Ally,Mana{noDeck}{noPrice}] 
1x Ramos, Dragon Engine (pz2) [Commanders,Commander{noDeck}{noPrice}] 
1x Rancor (ulg) [Legacy - Enchant,Main Deck{noDeck}{noPrice}] 
1x Raugrin Crystal (iko) [Crystal,Mana{noDeck}{noPrice}] 
1x Raugrin Triome (iko) [Triome - Enemy,Land{noDeck}{noPrice}] 
1x Razortide Bridge (mh2) [Artifact Land - Ally,Land{noDeck}{noPrice}] 
1x Red Sun's Twilight (one) [Twilight,Main Deck{noDeck}{noPrice}] 
1x Red Sun's Zenith (mbs) [Zenith,Main Deck{noDeck}{noPrice}] 
1x Rejuvenating Springs (cmr) [Bondland - Enemy,Land{noDeck}{noPrice}] 
1x Resplendent Mentor (shm) [Mentor,Main Deck{noDeck}{noPrice}] 
1x Rite of Replication (zen) [Zendikar Kicker,Main Deck{noDeck}{noPrice}] 
1x Rith's Attendant (inv) [Attendants,Main Deck{noDeck}{noPrice}] 
1x Rith, the Awakener (inv) [Dominaria Dragons,Main Deck{noDeck}{noPrice}] 
1x Riverglide Pathway // Lavaglide Pathway (znr) [Pathway - Enemy,Land{noDeck}{noPrice}] 
1x Riveteers Overlook (snc) [Hideout Land,Land{noDeck}{noPrice}] 
1x Rockfall Vale (mid) [Slowland - Ally,Land{noDeck}{noPrice}] 
1x Rootbound Crag (m10) [Checkland - Ally,Land{noDeck}{noPrice}] 
1x Roughshod Mentor (shm) [Mentor,Main Deck{noDeck}{noPrice}] 
1x Rowan's Talent (moc) [PW - Aura,Main Deck{noDeck}{noPrice}] 
1x Ruby Medallion (tmp) [Medallion,Mana{noDeck}{noPrice}] 
1x Ruham Djinn (inv) [Djinn,Main Deck{noDeck}{noPrice}] 
1x Ruinous Ultimatum (iko) [Ultimatum,Main Deck{noDeck}{noPrice}] 
1x Rustvale Bridge (mh2) [Artifact Land - Enemy,Land{noDeck}{noPrice}] 
1x Ryusei, the Falling Star (chk) [Kamigawa,Main Deck{noDeck}{noPrice}] 
1x Sacred Foundry (rav) [Shock - Enemy,Land{noDeck}{noPrice}] 
1x Sadistic Sacrament (zen) [Zendikar Kicker,Main Deck{noDeck}{noPrice}] 
1x Sanctum of Calm Waters (m21) [Sanctum,Main Deck{noDeck}{noPrice}] 
1x Sanctum of Fruitful Harvest (m21) [Sanctum,Main Deck{noDeck}{noPrice}] 
1x Sanctum of Shattered Heights (m21) [Sanctum,Main Deck{noDeck}{noPrice}] 
1x Sanctum of Stone Fangs (m21) [Sanctum,Main Deck{noDeck}{noPrice}] 
1x Sanctum of Tranquil Light (m21) [Sanctum,Main Deck{noDeck}{noPrice}] 
1x Sandsteppe Citadel (ktk) [Triland - Enemy,Land{noDeck}{noPrice}] 
1x Sapphire Medallion (tmp) [Medallion,Mana{noDeck}{noPrice}] 
1x Savage Lands (ala) [Triland - Ally,Land{noDeck}{noPrice}] 
1x Savai Crystal (iko) [Crystal,Mana{noDeck}{noPrice}] 
1x Savai Triome (iko) [Triome - Enemy,Land{noDeck}{noPrice}] 
1x Savannah (lea) [OG dual - Ally,Land{noDeck}{noPrice}] 
1x Scalding Tarn (zen) [Fetchland - Enemy,Land{noDeck}{noPrice}] 
1x Scrubland (lea) [OG dual - Enemy,Land{noDeck}{noPrice}] 
1x Sea of Clouds (bbd) [Bondland - Ally,Land{noDeck}{noPrice}] 
1x Searing Wind (pcy) [Wind,Main Deck{noDeck}{noPrice}] 
1x Seashell Cameo (inv) [Cameo,Mana{noDeck}{noPrice}] 
1x Seaside Citadel (ala) [Triland - Ally,Land{noDeck}{noPrice}] 
1x Seat of the Synod (mrd) [Mono Artifact Land,Land{noDeck}{noPrice}] 
1x Seedborn Muse (lgn) [Muse,Main Deck{noDeck}{noPrice}] 
1x Selesnya Locket (grn) [Locket - Ally,Mana{noDeck}{noPrice}] 
1x Selesnya Sanctuary (rav) [Bounce - Ally,Land{noDeck}{noPrice}] 
1x Shattered Sanctum (vow) [Slowland - Enemy,Land{noDeck}{noPrice}] 
1x Shelldock Isle (lrw) [Hideaway Land,Land{noDeck}{noPrice}] 
1x Shipwreck Marsh (mid) [Slowland - Ally,Land{noDeck}{noPrice}] 
1x Silverbluff Bridge (mh2) [Artifact Land - Enemy,Land{noDeck}{noPrice}] 
1x Simic Growth Chamber (dis) [Bounce - Enemy,Land{noDeck}{noPrice}] 
1x Simic Locket (rna) [Locket - Enemy,Mana{noDeck}{noPrice}] 
1x Skull of Ramos (mmq) [Ramos,Mana{noDeck}{noPrice}] 
1x Sky Diamond (mir) [Diamond,Mana{noDeck}{noPrice}] 
1x Slagwoods Bridge (mh2) [Artifact Land - Ally,Land{noDeck}{noPrice}] 
1x Sleeper's Guile (ulg) [Legacy - Enchant,Main Deck{noDeck}{noPrice}] 
1x Slow Motion (ulg) [Legacy - Enchant,Main Deck{noDeck}{noPrice}] 
1x Sluggishness (ulg) [Legacy - Enchant,Main Deck{noDeck}{noPrice}] 
1x Sokenzan, Crucible of Defiance (neo) [Channel Land,Land{noDeck}{noPrice}] 
1x Solphim, Mayhem Dominus (one) [Dominus,Main Deck{noDeck}{noPrice}] 
1x Soul Stair Expedition (zen) [Expedition,Main Deck{noDeck}{noPrice}] 
1x Spara's Headquarters (snc) [Triome - Ally,Land{noDeck}{noPrice}] 
1x Spectator Seating (cmr) [Bondland - Enemy,Land{noDeck}{noPrice}] 
1x Spinerock Knoll (lrw) [Hideaway Land,Land{noDeck}{noPrice}] 
1x Spire Garden (bbd) [Bondland - Ally,Land{noDeck}{noPrice}] 
1x Steam Vents (gpt) [Shock - Enemy,Land{noDeck}{noPrice}] 
1x Stomping Ground (gpt) [Shock - Ally,Land{noDeck}{noPrice}] 
1x Stonewood Invocation (tsp) [Split Second,Main Deck{noDeck}{noPrice}] 
1x Stormcarved Coast (vow) [Slowland - Enemy,Land{noDeck}{noPrice}] 
1x Stormscape Apprentice (inv) [Apprentice,Main Deck{noDeck}{noPrice}] 
1x Stormscape Familiar (pls) [Familiar,Main Deck{noDeck}{noPrice}] 
1x Sudden Spoiling (tsp) [Split Second,Main Deck{noDeck}{noPrice}] 
1x Sulam Djinn (inv) [Djinn,Main Deck{noDeck}{noPrice}] 
1x Sulfur Falls (isd) [Checkland - Enemy,Land{noDeck}{noPrice}] 
1x Sundown Pass (vow) [Slowland - Enemy,Land{noDeck}{noPrice}] 
1x Sunpetal Grove (m10) [Checkland - Ally,Land{noDeck}{noPrice}] 
1x Sunscape Apprentice (inv) [Apprentice,Main Deck{noDeck}{noPrice}] 
1x Sunscape Familiar (pls) [Familiar,Main Deck{noDeck}{noPrice}] 
1x Sunspring Expedition (zen) [Expedition,Main Deck{noDeck}{noPrice}] 
1x Swamp (lea) 290 [Basic Land,Land{noDeck}{noPrice}] 
1x Sword of Body and Mind (som) [Swords - Enemy,Main Deck{noDeck}{noPrice}] 
1x Sword of Feast and Famine (mbs) [Swords - Enemy,Main Deck{noDeck}{noPrice}] 
1x Sword of Fire and Ice (dst) [Swords - Enemy,Main Deck{noDeck}{noPrice}] 
1x Sword of Forge and Frontier (one) [Swords - Ally,Main Deck{noDeck}{noPrice}] 
1x Sword of Hearth and Home (mh2) [Swords - Ally,Main Deck{noDeck}{noPrice}] 
1x Sword of Light and Shadow (dst) [Swords - Enemy,Main Deck{noDeck}{noPrice}] 
1x Sword of Once and Future (mom) [Swords - Ally,Main Deck{noDeck}{noPrice}] 
1x Sword of Sinew and Steel (mh1) [Swords - Ally,Main Deck{noDeck}{noPrice}] 
1x Sword of Truth and Justice (mh1) [Swords - Ally,Main Deck{noDeck}{noPrice}] 
1x Sword of War and Peace (nph) [Swords - Enemy,Main Deck{noDeck}{noPrice}] 
1x Taiga (lea) [OG dual - Ally,Land{noDeck}{noPrice}] 
1x Takenuma, Abandoned Mire (neo) [Channel Land,Land{noDeck}{noPrice}] 
1x Talisman of Conviction (mh1) [Talismans - Enemy,Mana{noDeck}{noPrice}] 
1x Talisman of Creativity (mh1) [Talismans - Enemy,Mana{noDeck}{noPrice}] 
1x Talisman of Curiosity (mh1) [Talismans - Enemy,Mana{noDeck}{noPrice}] 
1x Talisman of Dominance (mrd) [Talismans - Ally,Mana{noDeck}{noPrice}] 
1x Talisman of Hierarchy (mh1) [Talismans - Enemy,Mana{noDeck}{noPrice}] 
1x Talisman of Impulse (mrd) [Talismans - Ally,Mana{noDeck}{noPrice}] 
1x Talisman of Indulgence (mrd) [Talismans - Ally,Mana{noDeck}{noPrice}] 
1x Talisman of Progress (mrd) [Talismans - Ally,Mana{noDeck}{noPrice}] 
1x Talisman of Resilience (mh1) [Talismans - Enemy,Mana{noDeck}{noPrice}] 
1x Talisman of Unity (mrd) [Talismans - Ally,Mana{noDeck}{noPrice}] 
1x Tanglepool Bridge (mh2) [Artifact Land - Enemy,Land{noDeck}{noPrice}] 
1x Tarox Bladewing (fut) [Grandeur,Main Deck{noDeck}{noPrice}] 
1x Teferi's Talent (moc) [PW - Aura,Main Deck{noDeck}{noPrice}] 
1x Tekuthal, Inquiry Dominus (one) [Dominus,Main Deck{noDeck}{noPrice}] 
1x Temple Garden (rav) [Shock - Ally,Land{noDeck}{noPrice}] 
1x Temple of Abandon (ths) [Temples - Ally,Land{noDeck}{noPrice}] 
1x Temple of Deceit (ths) [Temples - Ally,Land{noDeck}{noPrice}] 
1x Temple of Enlightenment (bng) [Temples - Ally,Land{noDeck}{noPrice}] 
1x Temple of Epiphany (jou) [Temples - Enemy,Land{noDeck}{noPrice}] 
1x Temple of Malady (jou) [Temples - Enemy,Land{noDeck}{noPrice}] 
1x Temple of Malice (bng) [Temples - Ally,Land{noDeck}{noPrice}] 
1x Temple of Mystery (ths) [Temples - Enemy,Land{noDeck}{noPrice}] 
1x Temple of Plenty (bng) [Temples - Ally,Land{noDeck}{noPrice}] 
1x Temple of Silence (ths) [Temples - Enemy,Land{noDeck}{noPrice}] 
1x Temple of Triumph (ths) [Temples - Enemy,Land{noDeck}{noPrice}] 
1x Thistledown Liege (2x2) [Liege - Ally,Main Deck{noDeck}{noPrice}] 
1x Thornglint Bridge (mh2) [Artifact Land - Ally,Land{noDeck}{noPrice}] 
1x Thornscape Apprentice (inv) [Apprentice,Main Deck{noDeck}{noPrice}] 
1x Thornscape Familiar (pls) [Familiar,Main Deck{noDeck}{noPrice}] 
1x Thunderscape Apprentice (inv) [Apprentice,Main Deck{noDeck}{noPrice}] 
1x Thunderscape Familiar (pls) [Familiar,Main Deck{noDeck}{noPrice}] 
1x Tigereye Cameo (inv) [Cameo,Mana{noDeck}{noPrice}] 
1x Timeless Lotus (dmu) [Lotus,Mana{noDeck}{noPrice}] 
1x Titania's Command (bro) [Command,Main Deck{noDeck}{noPrice}] 
1x Tooth of Ramos (mmq) [Ramos,Mana{noDeck}{noPrice}] 
1x Training Center (phed) [Bondland - Enemy,Land{noDeck}{noPrice}] 
1x Transcendent Master (roe) [Level Up,Main Deck{noDeck}{noPrice}] 
1x Tree of Tales (mrd) [Mono Artifact Land,Land{noDeck}{noPrice}] 
1x Treva's Attendant (inv) [Attendants,Main Deck{noDeck}{noPrice}] 
1x Treva, the Renewer (inv) [Dominaria Dragons,Main Deck{noDeck}{noPrice}] 
1x Trickbind (tsp) [Split Second,Main Deck{noDeck}{noPrice}] 
1x Troll-Horn Cameo (inv) [Cameo,Mana{noDeck}{noPrice}] 
1x Tropical Island (lea) [OG dual - Enemy,Land{noDeck}{noPrice}] 
1x Tundra (lea) [OG dual - Ally,Land{noDeck}{noPrice}] 
1x Turbulent Dreams (tor) [Dreams,Main Deck{noDeck}{noPrice}] 
1x Underground Sea (lea) [OG dual - Ally,Land{noDeck}{noPrice}] 
1x Undergrowth Stadium (cmr) [Bondland - Enemy,Land{noDeck}{noPrice}] 
1x Urza's Command (bro) [Command,Main Deck{noDeck}{noPrice}] 
1x Urza's Ruinous Blast (dom) [Leg. Sorcery,Main Deck{noDeck}{noPrice}] 
1x Vaevictis Asmadi (leg) [Elder Dragon,Main Deck{noDeck}{noPrice}] 
1x Valor (jud) [Judgement,Main Deck{noDeck}{noPrice}] 
1x Vault of Champions (cmr) [Bondland - Enemy,Land{noDeck}{noPrice}] 
1x Vault of Whispers (mrd) [Mono Artifact Land,Land{noDeck}{noPrice}] 
1x Vengeful Dreams (tor) [Dreams,Main Deck{noDeck}{noPrice}] 
1x Verdant Catacombs (zen) [Fetchland - Enemy,Land{noDeck}{noPrice}] 
1x Vigor (lrw) [Lorwyn,Main Deck{noDeck}{noPrice}] 
1x Vitalizing Wind (pcy) [Wind,Main Deck{noDeck}{noPrice}] 
1x Vivid Crag (lrw) [Vivid,Land{noDeck}{noPrice}] 
1x Vivid Creek (lrw) [Vivid,Land{noDeck}{noPrice}] 
1x Vivid Grove (lrw) [Vivid,Land{noDeck}{noPrice}] 
1x Vivid Marsh (lrw) [Vivid,Land{noDeck}{noPrice}] 
1x Vivid Meadow (lrw) [Vivid,Land{noDeck}{noPrice}] 
1x Vivien's Talent (moc) [PW - Aura,Main Deck{noDeck}{noPrice}] 
1x Volcanic Island (leb) [OG dual - Enemy,Land{noDeck}{noPrice}] 
1x Watery Grave (rav) [Shock - Ally,Land{noDeck}{noPrice}] 
1x White Sun's Twilight (one) [Twilight,Main Deck{noDeck}{noPrice}] 
1x White Sun's Zenith (mbs) [Zenith,Main Deck{noDeck}{noPrice}] 
1x Wilt-Leaf Liege (2x2) [Liege - Ally,Main Deck{noDeck}{noPrice}] 
1x Windborn Muse (lgn) [Muse,Main Deck{noDeck}{noPrice}] 
1x Windbrisk Heights (lrw) [Hideaway Land,Land{noDeck}{noPrice}] 
1x Windswept Heath (ons) [Fetchland - Ally,Land{noDeck}{noPrice}] 
1x Witch-Maw Nephilim (gpt) [Nephilim,Main Deck{noDeck}{noPrice}] 
1x Wonder (jud) [Judgement,Main Deck{noDeck}{noPrice}] 
1x Wooded Foothills (ons) [Fetchland - Ally,Land{noDeck}{noPrice}] 
1x Woodland Cemetery (isd) [Checkland - Enemy,Land{noDeck}{noPrice}] 
1x Word of Seizing (tsp) [Split Second,Main Deck{noDeck}{noPrice}] 
1x Wurm's Tooth (dst) [Darksteel Artifact,Main Deck{noDeck}{noPrice}] 
1x Xander's Lounge (snc) [Triome - Ally,Land{noDeck}{noPrice}] 
1x Xenagos, God of Revels (bng) [Gods - BNG,Main Deck{noDeck}{noPrice}] 
1x Yawgmoth's Vile Offering (dom) [Leg. Sorcery,Main Deck{noDeck}{noPrice}] 
1x Yore-Tiller Nephilim (gpt) [Nephilim,Main Deck{noDeck}{noPrice}] 
1x Yosei, the Morning Star (chk) [Kamigawa,Main Deck{noDeck}{noPrice}] 
1x Zagoth Crystal (iko) [Crystal,Mana{noDeck}{noPrice}] 
1x Zagoth Triome (iko) [Triome - Enemy,Land{noDeck}{noPrice}] 
1x Zanam Djinn (inv) [Djinn,Main Deck{noDeck}{noPrice}] 
1x Zektar Shrine Expedition (zen) [Expedition,Main Deck{noDeck}{noPrice}] 
1x Ziatora's Proving Ground (snc) [Triome - Ally,Land{noDeck}{noPrice}] 
1x Ziatora, the Incinerator (snc) [Mob Bosses,Main Deck{noDeck}{noPrice}] 
1x Zopandrel, Hunger Dominus (one) [Dominus,Main Deck{noDeck}{noPrice}] 
